City,Population,Users,,Users-per-City,%
NEW YORK NY,"8,405,837","302,149",,0.035945141,3.594514145
CHICAGO IL,"1,955,130","164,468",,0.08412126,8.412126048
LOS ANGELES CA,"1,595,037","144,132",,0.090362794,9.036279409
MIAMI FL,"1,339,155","17,675",,0.013198622,1.319862152
SILICON VALLEY,"1,177,609","27,247",,0.023137561,2.313756094
ORANGE COUNTY,"1,030,185","12,994",,0.012613268,1.261326849
SAN DIEGO CA,"959,307","69,995",,0.072964129,7.296412931
PHOENIX AZ,"943,999","6,133",,0.006496829,0.649682892
DALLAS TX,"942,908","22,157",,0.023498581,2.349858099
ATLANTA GA,"814,885","24,701",,0.030312253,3.031225265
DENVER CO,"754,233","12,421",,0.016468386,1.646838576
AUSTIN TX,"698,371","14,978",,0.021447053,2.144705321
SEATTLE WA,"671,238","25,063",,0.03733847,3.733847011
TUCSON AZ,"631,442","5,712",,0.009045961,0.904596147
SAN FRANCISCO CA,"629,591","213,609",,0.339282169,33.92821689
SACRAMENTO CA,"545,776","7,044",,0.012906394,1.290639383
PITTSBURGH PA,"542,085","3,643",,0.006720348,0.672034828
WASHINGTON DC,"418,859","127,001",,0.303207046,30.32070458
NASHVILLE TN,"327,225","9,270",,0.028329131,2.832913133
BOSTON MA,"248,968","80,021",,0.321410784,32.14107837
